,Date,Time,Location,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,Elo_HomeTeam,Elo_AwayTeam,Temperature,Humidity,Wind Speed,Condition
43,2024-03-30,15:00,EGLC,Tottenham,Luton,2,1,H,0,1,A,J Gillett,17,7,4,3,16,14,3,6,2,4,0,0,1.202,7.470000000000001,11.214,1841.69384766,1611.31835938,51.145833333333336,68.52083333333333,5.395833333333333,Fair
44,2024-03-30,15:00,EGCN,Sheffield United,Fulham,3,3,D,0,0,D,T Robinson,8,24,4,9,10,13,2,15,4,1,0,0,4.628,3.9300000000000006,1.7119999999999995,1578.44628906,1751.54907227,49.35287081339713,80.27083333333333,8.452570921985817,Fair
45,2024-03-30,15:00,EGLC,Chelsea,Burnley,2,2,D,1,0,H,D England,33,18,13,7,12,7,12,4,2,2,0,1,1.286,5.884,9.468,1789.40234375,1633.85009766,51.145833333333336,68.52083333333333,5.395833333333333,Fair
46,2024-03-30,15:00,EGHH,Bournemouth,Everton,2,1,H,0,0,D,S Barrott,11,7,4,3,14,11,9,8,1,2,0,0,2.158,3.592,3.214,1709.94335938,1708.59301758,50.6875,73.9375,7.8125,Fair
47,2024-03-30,12:30,EGNT,Newcastle,West Ham,4,3,H,1,2,A,R Jones,24,10,9,4,9,8,3,4,1,1,1,0,1.818,4.072,3.85,1801.71228027,1791.05053711,46.43181818181818,75.52272727272727,4.340909090909091,Fair
48,2024-03-17,14:00,EGLC,West Ham,Aston Villa,1,1,D,1,0,H,J Gillett,13,13,5,5,13,12,7,11,3,3,0,0,2.6279999999999997,3.704,2.464,1791.07165527,1836.78686523,54.375,85.0625,7.416666666666667,Mostly Cloudy
49,2024-03-16,17:30,EGLC,Fulham,Tottenham,3,0,H,1,0,H,R Jones,16,14,7,5,9,10,4,5,2,3,0,0,3.404,3.887999999999999,1.972,1734.45324707,1858.78955078,50.645833333333336,67.83333333333333,6.75,Mostly Cloudy
50,2024-03-16,15:00,EGNM,Burnley,Brentford,2,1,H,1,0,H,D Bond,17,9,6,5,14,17,5,4,2,4,0,1,3.226,3.624,2.1399999999999997,1624.44433594,1731.6159668,44.47222222222222,83.25,9.055555555555555,Partly Cloudy
51,2024-03-13,19:30,EGHH,Bournemouth,Luton,4,3,H,0,3,A,S Allison,24,8,10,4,16,11,11,3,1,2,0,0,1.48,4.692,5.896,1697.75305176,1608.47253418,53.214285714285715,87.42857142857143,16.25,Mostly Cloudy
52,2024-03-11,20:00,EGLC,Chelsea,Newcastle,3,2,H,1,1,D,J Brooks,12,11,8,3,12,7,0,4,3,1,0,0,1.898,4.014,3.558,1775.47265625,1802.76147461,45.979166666666664,87.79166666666667,6.416666666666667,Mist
